Sno,Weight
0,0.052776966
1,0.055003017
2,0.042494345
3,0.05997896
4,0.04381925
5,0.02519668
6,0.030099437
7,0.025513377
8,0.10608174
9,0.007906908
10,0.022888483
11,0.12150358
12,0.037927203
13,0.039579615
14,0.031340513
15,0.016831394
16,-0.014248258
17,0.004511588
18,0.0027641954
19,0.0010573033
20,0.038796406
21,0.036020875
22,0.026499571
23,0.049973052
24,0.016623817
25,-0.014837419
26,0.015358147
27,-0.004692008
28,0.043003425
29,0.05528641
30,0.028494686
31,0.047663
32,0.04049559
33,0.059458934
34,0.05216727
35,0.05686909
36,0.020226467
37,0.03600475
38,0.048948698
39,0.009261473
40,0.09685654
41,-0.10662066
42,0.031658098
43,0.070802934
44,0.043839224
45,0.023597095
46,0.0590474
47,0.0465826
48,0.050000615
49,0.029996485
50,0.05080794
51,0.033463042
52,-0.08334902
53,0.009295988
54,0.05629997
55,-0.015816435
56,0.02904632
57,0.040571682
58,0.062712036
59,0.06618554
60,0.060772236
61,0.049052767
62,0.039525773
63,0.040060528
64,0.05114983
65,0.034885965
66,0.05744506
67,0.039568245
68,0.043383595
69,0.048022386
70,0.034196883
71,0.039646413
72,0.0019651249
73,-0.011549486
74,-0.008330001
75,-0.012388221
76,0.033918273
77,0.024107378
78,0.042907257
79,0.024555692
80,0.035459116
81,0.019109525
82,0.051149596
83,0.046751462
84,0.030094197
85,0.014978655
86,0.0076240525
87,0.010555435
88,0.002517769
89,0.017323898
90,0.06363067
91,0.0156589
92,0.061982807
93,0.020643402
94,0.02854088
95,0.04140573
96,0.026867626
97,0.05306424
98,-0.21910918
99,0.022629913
100,-0.0020549428
101,0.017684678
102,-0.018738817
103,0.013670648
104,3.4332617e-05
105,-0.0158265
106,-0.0037713756
107,0.012679244
108,0.050337736
109,0.05911086
110,0.06684759
111,0.050099697
112,0.045071945
113,0.049311675
114,0.045546796
115,0.029021347
116,-0.003919583
117,-0.006837313
118,-0.008700227
119,0.00511228
120,0.050933093
121,0.0594054
122,0.05652128
123,0.05774672
124,0.054783966
125,0.02739952
126,0.026465686
127,0.04459132
128,0.053881783
129,0.03123738
130,0.06362581
131,0.054560263
132,0.017623687
133,0.055321354
134,-0.25144163
135,0.0101422835
136,-0.022661421
137,0.019075653
138,-0.024076091
139,0.032084003
140,-0.34502527
141,0.14992677
142,-0.06923666
143,0.095570855
144,0.037216913
145,0.04023901
146,0.049312342
147,0.037373226
148,0.062289484
149,0.03700561
150,0.07100569
151,0.053392667
152,-0.0017593099
153,0.0072176657
154,0.0007829332
155,0.0012663988
156,0.060136493
157,0.047121637
158,0.03366448
159,0.043505255
160,0.032660477
161,0.013026146
162,0.022155512
163,0.00062493014
164,0.064386986
165,0.049989086
166,0.038550824
167,0.017013162
168,0.053216606
169,0.025966294
170,0.06275214
171,0.05149083
172,0.029398
173,0.04073164
174,0.049404554
175,0.043461524
176,-0.23027068
177,0.016758623
178,0.15590319
179,-0.023772467
180,0.012215656
181,-0.00578946
182,-0.004063335
183,0.011913238
184,0.052532833
185,0.04672804
186,0.059334192
187,0.0260993
188,0.08173161
189,0.0060867784
190,-0.24206884
191,0.055611834
192,0.049395584
193,0.051469978
194,0.057566278
195,0.03789258
196,0.03072757
197,0.05206702
198,0.04135502
199,0.039710246
200,0.04602926
201,0.025297314
202,0.037563395
203,0.046427447
